DDD|3D Systems Corporation|19.08|2175697800|n/a|n/a|Technology|Computer Software: Prepackaged Software|https://www.nasdaq.com/symbol/ddd
MMM|3M Company|211.07|1.23817E+11|n/a|n/a|Health Care|Medical/Dental Instruments|https://www.nasdaq.com/symbol/mmm
WBAI|500.com Limited|11.13|470300743.3|n/a|2013|Consumer Services|Services-Misc. Amusement & Recreation|https://www.nasdaq.com/symbol/wbai
WUBA|58.com Inc.|75.96|11203300901|n/a|2013|Technology|Computer Software: Programming, Data Processing|https://www.nasdaq.com/symbol/wuba
EGHT|8x8 Inc|21.35|1992422309|n/a|n/a|Technology|EDP Services|https://www.nasdaq.com/symbol/eght
AHC|A.H. Belo Corporation|4.45|96550323.9|n/a|n/a|Consumer Services|Newspapers/Magazines|https://www.nasdaq.com/symbol/ahc
ATEN|A10 Networks, Inc.|6.08|442060396.2|n/a|2014|Technology|Computer Communications Equipment|https://www.nasdaq.com/symbol/aten
AAC|AAC Holdings, Inc.|7.2|177096060|n/a|2014|Health Care|Medical Specialities|https://www.nasdaq.com/symbol/aac
AIR|AAR Corp.|48.62|1703624769|n/a|n/a|Capital Goods|Aerospace|https://www.nasdaq.com/symbol/air
AAN|Aaron&#39;s,  Inc.|54.23|3935921263|n/a|n/a|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/aan
ABB|ABB Ltd|23.75|50629677768|n/a|n/a|Consumer Durables|Electrical Products|https://www.nasdaq.com/symbol/abb
ABT|Abbott Laboratories|72.84|1.27785E+11|n/a|n/a|Health Care|Major Pharmaceuticals|https://www.nasdaq.com/symbol/abt
ABBV|AbbVie Inc.|94.18|1.42614E+11|n/a|2012|Health Care|Major Pharmaceuticals|https://www.nasdaq.com/symbol/abbv
ANF|Abercrombie & Fitch Company|21.23|1417101014|n/a|n/a|Consumer Services|Clothing/Shoe/Accessory Stores|https://www.nasdaq.com/symbol/anf
AGD|Aberdeen Global Dynamic Dividend Fund|10.44|131017625.6|n/a|2006|n/a|n/a|https://www.nasdaq.com/symbol/agd
AWP|Aberdeen Global Premier Properties Fund|6.1|520988501.1|n/a|2007|n/a|n/a|https://www.nasdaq.com/symbol/awp
ACP|Aberdeen Income Credit Strategies Fund|14.25|186305526|n/a|2011|n/a|n/a|https://www.nasdaq.com/symbol/acp
JEQ|Aberdeen Japan Equity Fund, Inc. |8.34|111664860.5|n/a|1992|n/a|n/a|https://www.nasdaq.com/symbol/jeq
AOD|Aberdeen Total Dynamic Dividend Fund|8.83|950049174.5|n/a|2007|n/a|n/a|https://www.nasdaq.com/symbol/aod
ABM|ABM Industries Incorporated|32.72|2154670667|n/a|n/a|Finance|Diversified Commercial Services|https://www.nasdaq.com/symbol/abm
AKR|Acadia Realty Trust|27.66|2254367780|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/akr
ACN|Accenture plc|172.97|1.10945E+11|n/a|2001|Miscellaneous|Business Services|https://www.nasdaq.com/symbol/acn
ACCO|Acco Brands Corporation|11.5|1201613840|n/a|n/a|Consumer Durables|Publishing|https://www.nasdaq.com/symbol/acco
ATV|Acorn International, Inc.|18.7949|50372963.29|n/a|2007|Consumer Services|Other Specialty Stores|https://www.nasdaq.com/symbol/atv
ATU|Actuant Corporation|27.6|1680705257|n/a|n/a|Technology|Industrial Machinery/Components|https://www.nasdaq.com/symbol/atu
AYI|Acuity Brands Inc|159.41|6405256876|n/a|n/a|Consumer Durables|Building Products|https://www.nasdaq.com/symbol/ayi
GOLF|Acushnet Holdings Corp.|27.35|2044664804|n/a|2016|Consumer Non-Durables|Recreational Products/Toys|https://www.nasdaq.com/symbol/golf
ADX|Adams Diversified Equity Fund, Inc.|16.68|1686435236|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/adx
PEO|Adams Natural Resources Fund, Inc.|20.01|580203857|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/peo
AGRO|Adecoagro S.A.|7.48|871833135.4|n/a|2011|Consumer Non-Durables|Farming/Seeds/Milling|https://www.nasdaq.com/symbol/agro
ADNT|Adient plc|40.34|3766618331|n/a|2016|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/adnt
ADT|ADT Inc.|9.38|7192298576|n/a|2018|Consumer Services|Diversified Commercial Services|https://www.nasdaq.com/symbol/adt
ATGE|Adtalem Global Education Inc.|47.35|2837732850|n/a|n/a|Consumer Services|Other Consumer Services|https://www.nasdaq.com/symbol/atge
AAP|Advance Auto Parts Inc|169.33|12544179417|n/a|n/a|Consumer Services|Other Specialty Stores|https://www.nasdaq.com/symbol/aap
ADSW|Advanced Disposal Services, Inc.|26.98|2390083196|n/a|2016|Public Utilities|Environmental Services|https://www.nasdaq.com/symbol/adsw
WMS|Advanced Drainage Systems, Inc.|31.2|1776190853|n/a|2014|Capital Goods|Containers/Packaging|https://www.nasdaq.com/symbol/wms
ASIX|AdvanSix Inc.|34.24|1038535803|n/a|2016|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/asix
AVK|Advent Claymore Convertible Securities and Income Fund|15.8|545498507.6|n/a|2003|n/a|n/a|https://www.nasdaq.com/symbol/avk
ACM|AECOM|32.51|5226968333|n/a|2007|Consumer Services|Military/Government/Technical|https://www.nasdaq.com/symbol/acm
ANW|Aegean Marine Petroleum Network Inc.|1.4|56896590.8|n/a|2006|Energy|Oil Refining/Marketing|https://www.nasdaq.com/symbol/anw
AEB|Aegon NV|24.5|0|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aeb
AED|Aegon NV|25.73|0|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aed
AEG|Aegon NV|6.63|13553306281|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aeg
AEH|Aegon NV|25.63|0|n/a|n/a|Finance|Life Insurance|https://www.nasdaq.com/symbol/aeh
AER|Aercap Holdings N.V.|57.19|8488853932|n/a|2006|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/aer
HIVE|Aerohive Networks, Inc.|4.05|224058384.9|n/a|2014|Technology|EDP Services|https://www.nasdaq.com/symbol/hive
AJRD|Aerojet Rocketdyne Holdings, Inc. |33.32|2518992000|n/a|n/a|Capital Goods|Military/Government/Technical|https://www.nasdaq.com/symbol/ajrd
AET|Aetna Inc.|201.76|66056224000|n/a|n/a|Health Care|Medical Specialities|https://www.nasdaq.com/symbol/aet
AMG|Affiliated Managers Group, Inc.|139.09|7431849647|n/a|n/a|Finance|Investment Managers|https://www.nasdaq.com/symbol/amg
AFL|Aflac Incorporated|47.04|36117324136|n/a|n/a|Finance|Accident &Health Insurance|https://www.nasdaq.com/symbol/afl
MITT|AG Mortgage Investment Trust, Inc.|18.38|518797758.2|n/a|2011|n/a|n/a|https://www.nasdaq.com/symbol/mitt
MITT^A|AG Mortgage Investment Trust, Inc.|25.608|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/mitt^a
MITT^B|AG Mortgage Investment Trust, Inc.|25.2661|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/mitt^b
AGCO|AGCO Corporation|61.16|4838901466|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/agco
A|Agilent Technologies, Inc.|70.33|22419062241|n/a|1999|Capital Goods|Biotechnology: Laboratory Analytical Instruments|https://www.nasdaq.com/symbol/a
AEM|Agnico Eagle Mines Limited|33.75|7906126601|n/a|n/a|Basic Industries|Precious Metals|https://www.nasdaq.com/symbol/aem
ADC|Agree Realty Corporation|52.03|1824014773|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/adc
AL|Air Lease Corporation|45.86|4772491754|n/a|2011|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/al
APD|Air Products and Chemicals, Inc.|167.8|36793924829|n/a|n/a|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/apd
AYR|Aircastle Limited|20.9|1634087567|n/a|2006|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/ayr
AKS|AK Steel Holding Corporation|4.82|1520765936|n/a|n/a|Basic Industries|Steel/Iron Ore|https://www.nasdaq.com/symbol/aks
ALP^Q|Alabama Power Company|25|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/alp^q
ALG|Alamo Group, Inc.|92|1078946008|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/alg
AGI|Alamos Gold Inc.|4.55|1773617719|n/a|2015|Basic Industries|Precious Metals|https://www.nasdaq.com/symbol/agi
ALK|Alaska Air Group, Inc.|67.12|8265488306|n/a|n/a|Transportation|Air Freight/Delivery Services|https://www.nasdaq.com/symbol/alk
AIN|Albany International Corporation|79.1|2547020000|n/a|n/a|Basic Industries|Textiles|https://www.nasdaq.com/symbol/ain
ALB|Albemarle Corporation|101.32|10988129987|n/a|n/a|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/alb
