Co_ID|Exchange|Name| root_ ticker | QMV | OS_Shares | tech_sub_sector | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|hq_location|hq_region|interlisted_code_1|interlisted_code_2|tsx_ven_grad|former_cpc|Index|technology_sub_sector|usa_city|USA_State|asia_region|place_inCopporated|fundfamily|sp_grouping|SP_Sub|income_trust_conversion| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties
AGN0001|TSX|Agnico Eagle Mines Limited|AEM| 14,079,306,872 | 233,603,897 |||| Mining |||19571227|ON|Canada|TSX-NYSE||||60|||||C||||| 80,772,899 | 4,499,004,355 | 513,111 |6|||NU,Quebec||Mexico||Finland|||1|1|1|||||||1|||||||||
ANA0004|TSX|Alacer Gold Corp.|ASR| 713,961,398 | 293,811,275 |||| Mining ||TSXV Grad|20030718|USA|USA|TSX-ASX||1||1||Lakewood|CO||C||||| 53,369,110 | 120,143,167 | 128,657 |6|||||||Turkey|||1||1||||||||||||||||
ALA0001|TSX|Alamos Gold Inc.|AGI| 2,914,751,266 | 389,152,372 |||| Mining ||TSXV Grad|20040621|ON|Canada|TSX-NYSE||1|1|1|||||C||||| 108,976,123 | 746,446,751 | 313,906 |6|||MB, ON||Mexico||Turkey|OR||1||||||||||||||||1||
ALD0003|TSX|Alderon Iron Ore Corp.|IRON| 42,710,992 | 133,471,850 |||| Mining ||TSXV Grad|20111012|BC|Canada|||1|||||||C||||| 9,223,913 | 2,724,178 | 3,003 |6|||Canada||||||||||||||1|||||||||||
ALE0007|TSX|Alexco Resource Corp.|AXR| 186,820,800 | 107,988,902 |||| Mining ||IPO|20060125|BC|Canada|TSX-NYSE MKT|||||||||C||||| 9,630,778 | 17,823,438 | 20,810 |6|||YT||||||||1|||||||||||||||||
TIM0009|TSX|Alio Gold Inc.|ALO| 160,027,566 | 83,784,066 |||| Mining ||TSXV Grad|20110323|BC|Canada|TSX-NYSE MKT||1|||||||C||||| 22,150,247 | 52,544,574 | 70,097 |6|||||Mexico|||||1||||||||||||||||||
FAI0002|TSX|Almaden Minerals Ltd.|AMM| 106,057,644 | 111,639,625 |||| Mining ||TSXV Grad|19900518|BC|Canada|TSX-NYSE MKT||1|||||||C||||| 3,835,976 | 4,051,468 | 4,717 |6|||BC,NWT,YT||Mexico|||NV||1|1|1||||||||||||||||
ALM0005|TSX|Almonty Industries Inc.|AII| 168,740,960 | 181,441,893 |||| Mining ||TSXV Grad|20180601|ON|Canada|TSX-OTCQX||1|1||||||C||||| 1,906,723 | 1,465,074 | 595 |1||Australia||Korea|||Portugal, Spain||||||||||||||||||1|||
ALT0013|TSX|Altius Minerals Corporation|ALS| 668,277,592 | 53,215,026 |||| Mining ||TSXV Grad|20070115|NL|Canada|||1|1||||||C||||| 5,920,464 | 81,275,026 | 26,413 |6||||||||||||||||||||||||||||Royalty Streaming
SCO0013|TSX|Americas Silver Corporation|USA| 175,309,255 | 42,654,320 |||| Mining ||TSXV Grad|20061018|ON|Canada|TSX-NYSE MKT||1|||||||C||||| 4,608,724 | 21,800,269 | 17,671 |6|||||Mexico||||||1|||||||||||||||||
AME0021|TSX|Amerigo Resources Ltd.|ARG| 175,478,246 | 177,250,754 |||| Mining ||TSXV Grad|20040323|BC|Canada|TSX-OTCQX||1|||||||C||||| 20,084,927 | 22,229,192 | 19,673 |6|||||Chile|||||||1|||1|||||||||||||
ANA0005|TSX|Anaconda Mining Inc.|ANX| 42,710,989 | 118,641,635 |||| Mining ||TSXV Grad|20070418|ON|Canada|||1|||||||C||||| 35,143,922 | 8,565,607 | 7,961 |6|||NL,NS|||||||1||||||||||||||||||
ANG0008|TSX|Anglo Pacific Group PLC|APY| 607,753,446 | 181,418,939 |||| Mining ||Other|20100709|UK|UK/Europe|TSX-LSE|||||||||F||||| 54,449 | 140,373 | 82 |5|Liberia|Australia|BC,ON||Brazil||Spain|||1|1|1|||||1||||||1|1||||
AQU0010|TSX|Aquila Resources Inc.|AQA| 98,940,657 | 335,392,056 |||| Mining ||TSXV Grad|20070528|ON|Canada|||1|||||||C||||| 12,947,253 | 3,703,140 | 3,398 |6||||||||||||||||||||||||||||
ARG0011|TSX|Argex Titanium Inc.|RGX| 13,999,239 | 349,980,974 |||| Mining ||TSXV Grad|20130919|Quebec|Canada|||1|1||||||C||||| 75,178,877 | 3,947,900 | 3,467 |6|||Quebec|||||||||||||||||||||||||Titanium
ARG0009|TSX|Argonaut Gold Inc.|AR| 410,698,143 | 177,791,404 |||| Mining ||TSXV Grad|20091230|USA|USA|||1|1|||Reno|NV||C||||| 50,699,502 | 123,033,841 | 107,026 |6||||||||||||||||||||||||||||
WIL0011|TSX|Arizona Mining Inc.|AZ| 1,928,906,210 | 313,134,125 |||| Mining ||TSXV Grad|20110719|BC|Canada|||1|||||||C||||| 86,971,098 | 458,538,958 | 117,409 |6||||||||AZ|||1|||||||1|1|||||||||
KEE0001|TSX|Asanko Gold Inc.|AKG| 320,642,552 | 225,804,614 |||| Mining ||TSXV Grad|20081222|BC|Canada|TSX-NYSE MKT||1|1||||||C||||| 63,396,835 | 76,259,178 | 58,143 |6|Ghana|||||||||1||||||||||||||||||
ASC0006|TSX|Ascendant Resources Inc.|ASND| 74,574,593 | 74,574,593 |||| Mining ||TSXV Grad|20170720|ON|Canada|||1|1||||||C||||| 18,510,598 | 17,901,116 | 4,938 |6|||||Honduras||||||1|||||||1|1|||||||||
EME0008|TSX|Atalaya Mining plc|AYM| 582,575,367 | 137,076,557 |||| Mining ||IPO|20101220|Cyprus|UK/Europe|TSX-AIM|||||||||F||||| 210,203 | 811,532 | 333 |6|||||||Spain|||||1||||||||||||||||
ATL0009|TSX|Atlatsa Resources Corporation|ATL| 22,176,872 | 554,421,806 |||| Mining ||TSXV Grad|20140205|South Africa|Africa|TSX-JSE||1|||||||C||||| 6,624,928 | 247,806 | 432 |6|South Africa|||||||||||||||1||||||||||||
