Co_ID|PO ID|Exchange|Name| Root_Ticker | qmv | OS_Shares | tech_sub_sec | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|QT_Date|RTO_Date|Date_of_amalgamation|Interlisted|formar_cpc_or_cpc|Ven_50_2018|Index|hq_location|hq_region|usa_city|USA_State|Asia_Region|clean_tech_primary|clean_tech_sub_sector|Section|trust| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties|
V-03104|1128241|TSXV |92 Resources Corp.|NTY| 3,199,161 | 71,092,456 ||||Mining||IPO|20100315|||||No|||BC|Canada||||||Tier2|| 45,935,654 | 6,491,661 | 4,339 |6|||BC,SK||||||||||||||||||||1|||||Frac Sands|
V-00002|11607|TSXV |A.I.S. Resources Limited|AIS| 8,910,737 | 52,416,099 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 58,087,340 | 27,222,732 | 15,818 |6|||||Argentina|||||||||||||||||1|||||||
V-00015|12060|TSXV |Abacus Mining & Exploration Corporation|AME| 6,940,337 | 43,377,109 ||||Mining||||||||No|||BC|Canada||||||Tier1|| 4,870,284 | 1,143,339 | 1,964 |6|||BC|||||||1||1|||||||||||||||||
V-00017|1074330|TSXV |Abcourt Mines Inc.|ABI| 14,435,154 | 288,703,070 ||||Mining||||||||No|||Quebec|Canada||||||Tier2|| 11,299,702 | 708,971 | 763 |6|||Quebec|||||||1|1||||||||1||||||||||
V-00450|10787|TSXV |Aben Resources Ltd.|ABN| 17,490,011 | 79,500,051 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 34,418,212 | 5,983,534 | 3,485 |6|||NWT,SK,YT|||||||1|1||||||||||||1||||||
V-03828|1135693|TSXV |Abitibi Royalties Inc.|RZZ| 112,303,150 | 11,401,335 ||||Mining||Other|20110715|||||No||1|Quebec|Canada||||||Tier2|| 230,044 | 2,272,843 | 635 |6|||Canada||||||||||||||||||||||||1||
V-01325|1023613|TSXV |Abraplata Resource Corp.|ABRA| 7,132,584 | 81,178,416 ||||Mining||RTO from NEX|||20170426 NEX|||No|||BC|Canada||||||Tier2|| 10,093,271 | 1,945,471 | 1,567 |6|||||Argentina||||||||||||||||||||||||
V-00554|1087218|TSXV |Adamera Minerals Corp.|ADZ| 7,544,016 | 125,733,595 ||||Mining||||||20130219||No|||BC|Canada||||||Tier1|| 39,405,271 | 4,323,269 | 3,206 |6||||||||WA||1|1||||||||||||||||||
V-02548|1110524|TSXV |Adex Mining Inc.|ADE| 10,158,172 | 677,211,441 ||||Mining||Other|20070716|||||No|||ON|Canada||||||Tier1|| 27,517,982 | 549,670 | 1,114 |6|||NB||||||||||||1||||||||||1|||Indium,Tin|
V-02598|1115042|TSXV |Advance Gold Corp.|AAX| 5,921,925 | 14,656,338 ||||Mining||QT|20070925|20080131||||Yes|||BC|Canada||||||Tier2|| 8,702,210 | 2,270,857 | 1,861 |6|||||||||||||||||||||||||||||
V-02651|1112925|TSXV |Advantage Lithium Corp.|AAL| 114,965,003 | 141,932,103 ||||Mining||QT from NEX|20071030|20160830 NEX|||OTCQX|Yes||1|BC|Canada||||||Tier1|| 41,314,671 | 46,773,596 | 26,771 |6|||||Argentina,Mexico|||NV||||||||||||||1|||||||
V-04324|1178740|TSXV |Adventus Zinc Corporation|ADZN| 32,918,472 | 56,933,652 ||||Mining||IPO|20170209|||||No||1|ON|Canada||||||Tier2|| 2,237,451 | 1,866,872 | 471 |6|||NL||||Ireland||||||||||||1||||||||||
V-03994|1155505|TSXV |Aethon Minerals Corporation|AET| 8,065,600 | 27,633,333 ||||Mining||QT from NEX|20120426|20180503 NEX||||Yes|||ON|Canada||||||Tier2|| 350,123 | 188,647 | 148 |2|||||Chile|||||1|1|1|||||||||||||||||
V-04353|1179440|TSXV |AEX Gold Inc.|AEX| 10,962,764 | 55,156,922 ||||Mining||IPO|20170713|||||No|||ON|Canada||||||Tier2|| 230,520 | 109,348 | 86 |6|||||||Greenland|||1|||||||||||||||||||
V-01009|27403|TSXV |Affinity Metals Corp.|AFF| 2,745,172 | 22,876,435 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 709,000 | 85,738 | 134 |6|||SK,YT|||||||1||1|||||1||||||1||||||
V-00047|27259|TSXV |African Gold Group, Inc.|AGG| 12,585,393 | 359,582,671 ||||Mining||||||||No|||ON|Canada||||||Tier2|| 32,077,735 | 1,394,689 | 993 |6|Ghana,Mali|||||||||1|||||||||||||||||||
V-04352|1173275|TSXV |Aguia Resources Limited|AGRL| 23,250,194 | 129,167,746 ||||Mining|Agriculture|Other|20170706||||ASX|No|||Australia|Australia/NZ/PNG||||||Tier1|| 3,411,010 | 980,011 | 252 |6|||||Brazil|||||||||||||||||||||||Phosphate|
V-00054|12037|TSXV |Aguila American Gold Limited|AGL| 436,497 | 2,424,985 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 47,507 | 9,437 | 49 |6|||||Peru|||||1|||||||||||||||||||
V-00031|11843|TSXV |Alba Minerals Ltd.|AA| 4,071,169 | 54,282,258 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 32,141,485 | 7,822,055 | 4,296 |6|||||Argentina|||NV||||||||||||||1|||||||
V-01203|1074426|TSXV |Albert Mining Inc.|AIIM| 1,898,762 | 63,292,061 ||||Mining||||||||No|||Quebec|Canada||||||Tier2|| 25,637,516 | 1,414,178 | 724 |6|||Quebec|||||||1||||1|||||||||||||||
V-00059|35177|TSXV |Aldershot Resources Ltd.|ALZ| 11,124,308 | 57,047,733 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 15,419,872 | 2,171,028 | 1,572 |6|||ON,Quebec|||||||1|||||||||||||||||||
V-00016|29623|TSXV |Aldever Resources Inc.|ALD| 1,000,329 | 15,389,670 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 3,467,048 | 137,637 | 270 |6|||Quebec|||||||1|1|1|||||||1||||1|||||Sulphide|
V-00060|718333|TSXV |Aldridge Minerals Inc.|AGM| 8,427,553 | 140,459,214 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 3,368,283 | 233,274 | 731 |6|||||||Turkey|||1|1|1||||||1|1||||||||||
V-02262|1099012|TSXV |Alexandria Minerals Corporation|AZX| 19,198,165 | 479,954,117 ||||Mining||Other|20060324|||||No||1|ON|Canada||||||Tier2|| 105,511,770 | 8,380,584 | 5,006 |6|||Quebec|||||||1|||||||||||||||||||
V-03895|1147105|TSXV |Algold Resources Ltd.|ALG| 17,919,153 | 223,989,416 ||||Mining||QT|20111123|20121009||||Yes||1|Quebec|Canada||||||Tier2|| 13,185,518 | 1,809,284 | 1,462 |6|||Quebec|||||||1|1|1|||||||||||||||||
V-02278|1105053|TSXV |Alianza Minerals Ltd.|ANZ| 4,053,750 | 45,041,668 ||||Mining||QT|20060301|20070731||||Yes|||BC|Canada||||||Tier2|| 2,868,207 | 256,610 | 260 |6|||YT||Mexico, Peru|||NV||1|1||||||||||||||||||
V-04397|1180555|TSXV |Allegiant Gold Ltd.|AUAU| 22,173,679 | 46,681,429 ||||Mining||Other|20180130|||||No|||BC|Canada||||||Tier2|| 8,111,086 | 3,729,200 | 3,074 |6||||||||NV||1|||||||||||||||||||
V-03928|1149926|TSXV |Alliance Mining Corp.|ALM| 1,081,625 | 72,108,310 ||||Mining||Other|20120127|||||No|||BC|Canada||||||Tier2|| 16,282,527 | 608,415 | 394 |6||||||||AZ||1|1|1|||||||||||||||||
V-04436|1181265|TSXV |Almadex Minerals Ltd.|DEX| 18,501,021 | 54,414,769 ||||Mining||Other|20180525|||||No||1|BC|Canada||||||Tier2|| 1,547,555 | 606,195 | 756 |2|||NWT||Mexico|||NV||1|1|||1|||||||||||||||
V-02776|1115533|TSXV |Aloro Mining Corp.|AORO| 3,425,457 | 38,060,629 ||||Mining||IPO|20080317|||||No|||BC|Canada||||||Tier2|| 2,578,260 | 277,084 | 230 |6|||||Mexico|||||1|||||||||||||||||||
V-01105|30682|TSXV |Alphamin Resources Corp.|AFM| 212,830,198 | 709,433,993 ||||Mining|||||||JSE|No|||Mauritius|Africa||||||Tier2|| 2,676,780 | 805,431 | 437 |6|DRC (Congo)||||Mexico|||||1|1|||||||||1||||||1||Tin|
V-00226|1099483|TSXV |Alset Minerals Corp.|ION| 5,230,756 | 28,274,358 ||||Mining||Other|20050413|||||No|||BC|Canada||||||Tier2|| 21,089,793 | 2,285,870 | 1,506 |6|||||Mexico|||||||||||||||||1|||||||
V-00084|1078210|TSXV |Altai Resources Inc.|ATI| 5,043,020 | 56,033,552 ||||Mining||||||||No||1|ON|Canada||||||Tier2|| 35,072,394 | 6,157,576 | 4,817 |6|||Quebec||||||1|1|||||||||||||||||||
V-02342|1107986|TSXV |Altair Resources Inc.|AVX| 2,493,075 | 49,861,501 ||||Mining||QT|20060802|20070315||||Yes|||BC|Canada||||||Tier2|| 19,327,444 | 1,303,855 | 831 |6|||Quebec||||Kosovo||||||||||||1|||1|||||||
V-02021|816867|TSXV |Altamira Gold Corp.|ALTA| 5,349,665 | 48,633,316 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 14,988,905 | 3,080,083 | 2,658 |6|||NL||Brazil|||||1|||1|||1|||||||||||||
V-03016|1123005|TSXV |Altan Nevada Minerals Limited|ANE| 496,282 | 37,029,600 ||||Mining||QT|20090924|20111220||||Yes|||BC|Canada||||||Tier2|| 2,535,756 | 53,168 | 66 |6||||||||USA||1|1|1|||||||||||||||||
V-03785|1145075|TSXV |Altan Rio Minerals Limited|AMO| 1,336,845 | 89,123,009 ||||Mining||QT|20110629|20120112||||Yes|||BC|Canada||||||Tier2|| 1,768,580 | 23,080 | 49 |5||||Mongolia||||||1||1|||||||||||||||||
V-03720|1142260|TSXV |Altiplano Metals Inc.|APN| 24,017,195 | 64,045,852 ||||Mining||IPO|20110202||||OTCQB|No||1|AB|Canada||||||Tier2|| 30,219,378 | 12,817,291 | 4,161 |6|||||Chile|||ID||1|1|1|||||||||||||||||
V-03977|1152090|TSXV |Altitude Resources Inc.|ALI| 1,152,795 | 23,055,908 ||||Mining||QT|20120315|20130215||||Yes|||AB|Canada||||||Tier2|| 1,618,996 | 104,731 | 139 |5|||AB|||||||||||||||||||||1|||||
V-00089|13448|TSXV |Alto Ventures Ltd.|ATV| 2,254,932 | 56,373,295 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 9,823,050 | 473,192 | 465 |6|||||||||||||||||||||||||||||
V-01024|1023320|TSXV |Alturas Minerals Corp.|ALT| 2,173,232 | 144,882,143 ||||Mining||RTO|20050624||20060410||LIMA (BVL)|No|||Peru|Latin America||||||Tier1|| 1,874,905 | 48,109 | 121 |6|||||Peru|||||1||1|||||1||1||||||||||
V-04450|1180755|TSXV |Altus Strategies PLC|ALTS| 14,489,318 | 177,782,686 ||||Mining||Other|20180606||||AIM|No|||UK|UK/Europe||||||Tier2|| 437,734 | 48,204 | 38 |1|Cameroon, Cote D'Ivoire, Ethopia, Liberia, Mali, Morocco|||||||||1||1|||||1||1|||||||||Bauxite|
V-02817|1118114|TSXV |ALX Uranium Corp.|AL| 6,519,314 | 81,491,422 ||||Mining||QT|20080507|20100819||||Yes|||BC|Canada||||||Tier2|| 11,993,437 | 950,947 | 979 |6|||||||||||||||||||||||||||||
V-02805|1117840|TSXV |AM Resources Corp.|AMR| 2,606,046 | 53,834,227 ||||Mining||RTO|20080430||20180515|||No|||Quebec|Canada||||||Tier2|| 726,571 | 153,647 | 87 |2|||||Colombia|||||||||||||||||||1||||Bitumen|
V-00093|708779|TSXV |Amarc Resources Ltd.|AHR| 14,346,829 | 168,786,227 ||||Mining|||||||OTCQB|No||1|BC|Canada||||||Tier1|| 3,265,735 | 389,601 | 385 |6|||BC|||||||1||1|||||||||||||||||
V-00094|19879|TSXV |Amarillo Gold Corporation|AGC| 29,680,386 | 104,141,705 ||||Mining||||||||No||1|BC|Canada||||||Tier2|| 7,555,134 | 2,035,664 | 1,225 |6|||||Brazil|||||1|||||||||||||||||||
V-02359|1108183|TSXV |American Creek Resources Ltd.|AMK| 10,617,888 | 265,447,209 ||||Mining||Other|20060906|||||No|||AB|Canada||||||Tier2|| 20,221,778 | 972,726 | 984 |6|||BC|||||||1|1|1|||||||||||||||||
V-01309|32494|TSXV |American CuMo Mining Corporation|MLY| 16,230,216 | 162,302,155 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 13,163,693 | 1,148,868 | 1,177 |6||||||||ID,NV||1|1|1|||1||||||||||||||
V-01262|32075|TSXV |American Lithium Corp.|LI| 16,838,735 | 48,110,672 ||||Mining|||||||OTCQB|No|||BC|Canada||||||Tier2|| 9,304,251 | 4,251,166 | 2,301 |6||||||||NV||||||||||||||1|||||||
V-00099|28374|TSXV |American Manganese Inc.|AMY| 28,881,896 | 165,039,403 ||||Mining||||||||No||1|BC|Canada||||||Tier2|| 28,306,863 | 6,698,293 | 5,620 |6|||BC|||||USA||1||1|||||1|||||||||||Manganese|
V-00103|1074354|TSXV |Amex Exploration Inc.|AMX| 3,088,512 | 38,615,697 ||||Mining||||||||No|||Quebec|Canada||||||Tier2|| 10,297,226 | 1,220,908 | 1,122 |6|||Quebec|||||||1||||||||||||||||1|||
V-00422|1061421|TSXV |Anconia Resources Corp.|ARA| 1,058,567 | 105,856,689 ||||Mining||RTO from NEX|||20110620 NEX|||No|||ON|Canada||||||Tier2|| 5,439,595 | 78,406 | 137 |6|||Canada|||||||||||||||||||||||1|||
V-03758|1131425|TSXV |Anfield Energy Inc.|AEC| 6,515,115 | 24,130,054 ||||Mining||Other|20110411|||||No|||USA|USA|Apache Junction|AZ||||Tier2|| 13,283,688 | 3,787,112 | 2,508 |6||||||||AZ, CO, UT, WY|||||||||||||||1||||||
V-01739|12311|TSXV |Angel Gold Corp.|ANG| 1,843,282 | 52,665,205 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 7,814,849 | 508,824 | 522 |6|||||Colombia|||||1|||||||||||||||||||
V-03680|1121555|TSXV |Angkor Gold Corp.|ANK| 19,606,400 | 105,980,543 ||||Mining||QT|20101105|20111019||||Yes||1|BC|Canada||||||Tier2|| 3,500,174 | 644,980 | 789 |6||||Cambodia||||||1||||||||||||||||||Oil|
